x,y,z,Rx,Ry,Rz,Re,tx_gain_h_9p650GHz,tx_phase_h_9p650GHz,tx_gain_v_9p650GHz,tx_phase_v_9p650GHz
0.0,0.0,0.0,6.0,0.0,0.0,0.0,-81.9240264893,-24.9554252625,-32.727722168,110.271072388
0.0,0.0,0.0,6.5,0.0,0.0,0.0,-78.5902404785,-61.3468132019,-36.1209106445,65.2638015747
0.0,0.0,0.0,7.0,0.0,0.0,0.0,-76.4835891724,-108.613632202,-39.6266059875,20.8823413849
0.0,0.0,0.0,7.5,0.0,0.0,0.0,-75.3031082153,-143.522827148,-43.7385292053,-6.96660900116
0.0,0.0,0.0,8.0,0.0,0.0,0.0,-74.5605926514,178.977340698,-45.8738250732,4.07933187485
0.0,0.0,0.0,8.5,0.0,0.0,0.0,-73.7258911133,129.114349365,-41.3483467102,6.30966901779
0.0,0.0,0.0,9.0,0.0,0.0,0.0,-75.2851791382,98.3934326172,-37.7843475342,-13.9789705276
0.0,0.0,0.0,9.5,0.0,0.0,0.0,-79.1702270508,52.8242797852,-35.9290809631,-42.6588287354
0.0,0.0,0.0,10.0,0.0,0.0,0.0,-82.0243148804,-0.136851042509,-35.7737312317,-71.4527664185
0.0,0.0,0.0,10.5,0.0,0.0,0.0,-83.4268188477,-104.775527954,-37.1977577209,-101.512413025
0.0,0.0,0.0,11.0,0.0,0.0,0.0,-81.2924118042,-174.072067261,-40.6128540039,-133.696517944
0.0,0.0,0.0,12.0,0.0,0.0,0.0,-78.1583633423,112.283828735,-54.0273933411,30.4861526489
0.0,0.0,0.0,13.0,0.0,0.0,0.0,-84.4447097778,33.0994300842,-41.4314613342,-51.9194793701
0.0,0.0,0.0,14.0,0.0,0.0,0.0,-84.6564865112,-68.1963119507,-43.9771156311,-98.8116455078
0.0,0.0,0.0,15.0,0.0,0.0,0.0,-80.4044723511,-153.131866455,-49.119808197,-90.3109970093
0.0,0.0,0.0,16.0,0.0,0.0,0.0,-80.1893157959,-179.381561279,-47.1635475159,-113.469795227
0.0,0.0,0.0,17.0,0.0,0.0,0.0,-76.7648696899,147.981719971,-51.2425804138,136.53729248
0.0,0.0,0.0,18.0,0.0,0.0,0.0,-75.6064300537,127.813591003,-43.1101455688,13.5348529816
0.0,0.0,0.0,19.0,0.0,0.0,0.0,-77.2324905396,110.298629761,-39.7277793884,-56.2372016907
0.0,0.0,0.0,20.0,0.0,0.0,0.0,-82.7252731323,106.658691406,-40.8285179138,-124.512931824
0.0,0.0,0.0,25.0,0.0,0.0,0.0,-82.4740829468,58.363822937,-44.224105835,-5.41111040115
0.0,0.0,0.0,30.0,0.0,0.0,0.0,-86.9215621948,76.8047714233,-56.334400177,-60.508354187
0.0,0.0,0.0,35.0,0.0,0.0,0.0,-96.1918029785,16.9662132263,-44.9872131348,27.3927345276
0.0,0.0,0.0,40.0,0.0,0.0,0.0,-92.5343551636,25.1158847809,-54.5449790955,138.892211914
0.0,0.0,0.0,45.0,0.0,0.0,0.0,-86.8250045776,101.865356445,-64.0008087158,119.500701904
